HMDB	name	chemical_formula	average_molecular_weight	kegg_id
HMDB0121893	CL(8:0/15:0/20:0/23:0)	C75H146O17P2	1381.924	
HMDB0121894	CL(8:0/15:0/20:0/24:0)	C76H148O17P2	1395.951	
HMDB0121895	CL(8:0/15:0/20:0/i-24:0)	C76H148O17P2	1395.951	
HMDB0121896	CL(8:0/15:0/20:0/25:0)	C77H150O17P2	1409.978	
HMDB0121897	CL(8:0/15:0/20:0/a-25:0)	C77H150O17P2	1409.978	
HMDB0121898	CL(8:0/15:0/i-20:0/i-20:0)	C72H140O17P2	1339.843	
HMDB0121899	CL(8:0/15:0/i-20:0/21:0)	C73H142O17P2	1353.87	
HMDB0121900	CL(8:0/15:0/i-20:0/a-21:0)	C73H142O17P2	1353.87	
HMDB0121901	CL(8:0/15:0/i-20:0/i-21:0)	C73H142O17P2	1353.87	
HMDB0121902	CL(8:0/15:0/i-20:0/22:0)	C74H144O17P2	1367.897	
HMDB0121903	CL(8:0/15:0/i-20:0/i-22:0)	C74H144O17P2	1367.897	
HMDB0121904	CL(8:0/15:0/i-20:0/23:0)	C75H146O17P2	1381.924	
HMDB0121905	CL(8:0/15:0/i-20:0/24:0)	C76H148O17P2	1395.951	
HMDB0121906	CL(8:0/15:0/i-20:0/i-24:0)	C76H148O17P2	1395.951	
HMDB0121907	CL(8:0/15:0/i-20:0/25:0)	C77H150O17P2	1409.978	
HMDB0121908	CL(8:0/15:0/i-20:0/a-25:0)	C77H150O17P2	1409.978	
HMDB0121909	CL(8:0/15:0/21:0/21:0)	C74H144O17P2	1367.897	
HMDB0121910	CL(8:0/15:0/21:0/a-21:0)	C74H144O17P2	1367.897	
HMDB0121911	CL(8:0/15:0/21:0/i-21:0)	C74H144O17P2	1367.897	
HMDB0121912	CL(8:0/15:0/21:0/22:0)	C75H146O17P2	1381.924	
HMDB0121913	CL(8:0/15:0/21:0/i-22:0)	C75H146O17P2	1381.924	
HMDB0121914	CL(8:0/15:0/21:0/23:0)	C76H148O17P2	1395.951	
HMDB0121915	CL(8:0/15:0/21:0/24:0)	C77H150O17P2	1409.978	
HMDB0121916	CL(8:0/15:0/21:0/i-24:0)	C77H150O17P2	1409.978	
HMDB0121917	CL(8:0/15:0/21:0/25:0)	C78H152O17P2	1424.005	
HMDB0121918	CL(8:0/15:0/21:0/a-25:0)	C78H152O17P2	1424.005	
HMDB0121919	CL(8:0/15:0/a-21:0/a-21:0)	C74H144O17P2	1367.897	
HMDB0121920	CL(8:0/15:0/a-21:0/i-21:0)	C74H144O17P2	1367.897	
HMDB0121921	CL(8:0/15:0/a-21:0/22:0)	C75H146O17P2	1381.924	
HMDB0121922	CL(8:0/15:0/a-21:0/i-22:0)	C75H146O17P2	1381.924	
HMDB0121923	CL(8:0/15:0/a-21:0/23:0)	C76H148O17P2	1395.951	
HMDB0121924	CL(8:0/15:0/a-21:0/24:0)	C77H150O17P2	1409.978	
HMDB0121925	CL(8:0/15:0/a-21:0/i-24:0)	C77H150O17P2	1409.978	
HMDB0121926	CL(8:0/15:0/a-21:0/25:0)	C78H152O17P2	1424.005	
HMDB0121927	CL(8:0/15:0/a-21:0/a-25:0)	C78H152O17P2	1424.005	
HMDB0121928	CL(8:0/15:0/i-21:0/i-21:0)	C74H144O17P2	1367.897	
HMDB0121929	CL(8:0/15:0/i-21:0/22:0)	C75H146O17P2	1381.924	
HMDB0121930	CL(8:0/15:0/i-21:0/i-22:0)	C75H146O17P2	1381.924	
HMDB0121931	CL(8:0/15:0/i-21:0/23:0)	C76H148O17P2	1395.951	
HMDB0121932	CL(8:0/15:0/i-21:0/24:0)	C77H150O17P2	1409.978	
HMDB0121933	CL(8:0/15:0/i-21:0/i-24:0)	C77H150O17P2	1409.978	
HMDB0121934	CL(8:0/15:0/i-21:0/25:0)	C78H152O17P2	1424.005	
HMDB0121935	CL(8:0/15:0/i-21:0/a-25:0)	C78H152O17P2	1424.005	
HMDB0121936	CL(8:0/15:0/22:0/22:0)	C76H148O17P2	1395.951	
HMDB0121937	CL(8:0/15:0/22:0/i-22:0)	C76H148O17P2	1395.951	
HMDB0121938	CL(8:0/15:0/22:0/23:0)	C77H150O17P2	1409.978	
HMDB0121939	CL(8:0/15:0/22:0/24:0)	C78H152O17P2	1424.005	
HMDB0121940	CL(8:0/15:0/22:0/i-24:0)	C78H152O17P2	1424.005	
HMDB0121941	CL(8:0/15:0/22:0/25:0)	C79H154O17P2	1438.032	
HMDB0121942	CL(8:0/15:0/22:0/a-25:0)	C79H154O17P2	1438.032	
HMDB0121943	CL(8:0/15:0/i-22:0/i-22:0)	C76H148O17P2	1395.951	
HMDB0121944	CL(8:0/15:0/i-22:0/23:0)	C77H150O17P2	1409.978	
HMDB0121945	CL(8:0/15:0/i-22:0/24:0)	C78H152O17P2	1424.005	
HMDB0121946	CL(8:0/15:0/i-22:0/i-24:0)	C78H152O17P2	1424.005	
HMDB0121947	CL(8:0/15:0/i-22:0/25:0)	C79H154O17P2	1438.032	
HMDB0121948	CL(8:0/15:0/i-22:0/a-25:0)	C79H154O17P2	1438.032	
HMDB0121949	CL(8:0/15:0/23:0/23:0)	C78H152O17P2	1424.005	
HMDB0121950	CL(8:0/15:0/23:0/24:0)	C79H154O17P2	1438.032	
HMDB0121951	CL(8:0/15:0/23:0/i-24:0)	C79H154O17P2	1438.032	
HMDB0121952	CL(8:0/15:0/23:0/25:0)	C80H156O17P2	1452.059	
HMDB0121953	CL(8:0/15:0/23:0/a-25:0)	C80H156O17P2	1452.059	
HMDB0121954	CL(8:0/15:0/24:0/24:0)	C80H156O17P2	1452.059	
HMDB0121955	CL(8:0/15:0/24:0/i-24:0)	C80H156O17P2	1452.059	
HMDB0121956	CL(8:0/15:0/24:0/25:0)	C81H158O17P2	1466.086	
HMDB0121957	CL(8:0/15:0/24:0/a-25:0)	C81H158O17P2	1466.086	
HMDB0121958	CL(8:0/15:0/i-24:0/i-24:0)	C80H156O17P2	1452.059	
HMDB0121959	CL(8:0/15:0/i-24:0/25:0)	C81H158O17P2	1466.086	
HMDB0121960	CL(8:0/15:0/i-24:0/a-25:0)	C81H158O17P2	1466.086	
HMDB0121961	CL(8:0/15:0/25:0/25:0)	C82H160O17P2	1480.113	
HMDB0121962	CL(8:0/15:0/25:0/a-25:0)	C82H160O17P2	1480.113	
HMDB0121963	CL(8:0/15:0/a-25:0/a-25:0)	C82H160O17P2	1480.113	
HMDB0121964	CL(8:0/a-15:0/a-15:0/a-15:0)	C62H120O17P2	1199.573	
HMDB0121965	CL(8:0/a-15:0/a-15:0/i-15:0)	C62H120O17P2	1199.573	
HMDB0121966	CL(8:0/a-15:0/a-15:0/16:0)	C63H122O17P2	1213.6	
HMDB0121967	CL(8:0/a-15:0/a-15:0/i-16:0)	C63H122O17P2	1213.6	
HMDB0121968	CL(8:0/a-15:0/a-15:0/17:0)	C64H124O17P2	1227.627	
HMDB0121969	CL(8:0/a-15:0/a-15:0/a-17:0)	C64H124O17P2	1227.627	
HMDB0121970	CL(8:0/a-15:0/a-15:0/i-17:0)	C64H124O17P2	1227.627	
HMDB0121971	CL(8:0/a-15:0/a-15:0/18:0)	C65H126O17P2	1241.654	
HMDB0121972	CL(8:0/a-15:0/a-15:0/i-18:0)	C65H126O17P2	1241.654	
HMDB0121973	CL(8:0/a-15:0/a-15:0/18:2(9Z,11Z))	C65H122O17P2	1237.622	
HMDB0121974	CL(8:0/a-15:0/a-15:0/19:0)	C66H128O17P2	1255.681	
HMDB0121975	CL(8:0/a-15:0/a-15:0/i-19:0)	C66H128O17P2	1255.681	
HMDB0121976	CL(8:0/a-15:0/a-15:0/20:0)	C67H130O17P2	1269.708	NA
HMDB0121977	CL(8:0/a-15:0/a-15:0/i-20:0)	C67H130O17P2	1269.708	
HMDB0121978	CL(8:0/a-15:0/a-15:0/21:0)	C68H132O17P2	1283.735	
HMDB0121979	CL(8:0/a-15:0/a-15:0/a-21:0)	C68H132O17P2	1283.735	
HMDB0121980	CL(8:0/a-15:0/a-15:0/i-21:0)	C68H132O17P2	1283.735	
HMDB0121981	CL(8:0/a-15:0/a-15:0/22:0)	C69H134O17P2	1297.762	
HMDB0121982	CL(8:0/a-15:0/a-15:0/i-22:0)	C69H134O17P2	1297.762	
HMDB0121983	CL(8:0/a-15:0/a-15:0/23:0)	C70H136O17P2	1311.789	
HMDB0121984	CL(8:0/a-15:0/a-15:0/24:0)	C71H138O17P2	1325.816	
HMDB0121985	CL(8:0/a-15:0/a-15:0/i-24:0)	C71H138O17P2	1325.816	
HMDB0121986	CL(8:0/a-15:0/a-15:0/25:0)	C72H140O17P2	1339.843	
HMDB0121987	CL(8:0/a-15:0/a-15:0/a-25:0)	C72H140O17P2	1339.843	
HMDB0121988	CL(8:0/a-15:0/i-15:0/i-15:0)	C62H120O17P2	1199.573	
HMDB0121989	CL(8:0/a-15:0/i-15:0/16:0)	C63H122O17P2	1213.6	
HMDB0121990	CL(8:0/a-15:0/i-15:0/i-16:0)	C63H122O17P2	1213.6	
HMDB0121991	CL(8:0/a-15:0/i-15:0/17:0)	C64H124O17P2	1227.627	
HMDB0121992	CL(8:0/a-15:0/i-15:0/a-17:0)	C64H124O17P2	1227.627	
HMDB0121993	CL(8:0/a-15:0/i-15:0/i-17:0)	C64H124O17P2	1227.627	
HMDB0121994	CL(8:0/a-15:0/i-15:0/18:0)	C65H126O17P2	1241.654	
HMDB0121995	CL(8:0/a-15:0/i-15:0/i-18:0)	C65H126O17P2	1241.654	
HMDB0121996	CL(8:0/a-15:0/i-15:0/18:2(9Z,11Z))	C65H122O17P2	1237.622	
HMDB0121997	CL(8:0/a-15:0/i-15:0/19:0)	C66H128O17P2	1255.681	
HMDB0121998	CL(8:0/a-15:0/i-15:0/i-19:0)	C66H128O17P2	1255.681	
HMDB0121999	CL(8:0/a-15:0/i-15:0/20:0)	C67H130O17P2	1269.708	
HMDB0122000	CL(8:0/a-15:0/i-15:0/i-20:0)	C67H130O17P2	1269.708	
HMDB0122001	CL(8:0/a-15:0/i-15:0/21:0)	C68H132O17P2	1283.735	
HMDB0122002	CL(8:0/a-15:0/i-15:0/a-21:0)	C68H132O17P2	1283.735	
HMDB0122003	CL(8:0/a-15:0/i-15:0/i-21:0)	C68H132O17P2	1283.735	
HMDB0122004	CL(8:0/a-15:0/i-15:0/22:0)	C69H134O17P2	1297.762	
HMDB0122005	CL(8:0/a-15:0/i-15:0/i-22:0)	C69H134O17P2	1297.762	
HMDB0122006	CL(8:0/a-15:0/i-15:0/23:0)	C70H136O17P2	1311.789	
HMDB0122007	CL(8:0/a-15:0/i-15:0/24:0)	C71H138O17P2	1325.816	
HMDB0122008	CL(8:0/a-15:0/i-15:0/i-24:0)	C71H138O17P2	1325.816	
HMDB0122009	CL(8:0/a-15:0/i-15:0/25:0)	C72H140O17P2	1339.843	
HMDB0122010	CL(8:0/a-15:0/i-15:0/a-25:0)	C72H140O17P2	1339.843	
HMDB0122011	CL(8:0/a-15:0/16:0/16:0)	C64H124O17P2	1227.627	
HMDB0122012	CL(8:0/a-15:0/16:0/i-16:0)	C64H124O17P2	1227.627	
HMDB0122013	CL(8:0/a-15:0/16:0/17:0)	C65H126O17P2	1241.654	
HMDB0122014	CL(8:0/a-15:0/16:0/a-17:0)	C65H126O17P2	1241.654	
HMDB0122015	CL(8:0/a-15:0/16:0/i-17:0)	C65H126O17P2	1241.654	
HMDB0122016	CL(8:0/a-15:0/16:0/18:0)	C66H128O17P2	1255.681	
HMDB0122017	CL(8:0/a-15:0/16:0/i-18:0)	C66H128O17P2	1255.681	
HMDB0122018	CL(8:0/a-15:0/16:0/18:2(9Z,11Z))	C66H124O17P2	1251.649	
HMDB0122019	CL(8:0/a-15:0/16:0/19:0)	C67H130O17P2	1269.708	
HMDB0122020	CL(8:0/a-15:0/16:0/i-19:0)	C67H130O17P2	1269.708	
HMDB0122021	CL(8:0/a-15:0/16:0/20:0)	C68H132O17P2	1283.735	
HMDB0122022	CL(8:0/a-15:0/16:0/i-20:0)	C68H132O17P2	1283.735	
HMDB0122023	CL(8:0/a-15:0/16:0/21:0)	C69H134O17P2	1297.762	
HMDB0122024	CL(8:0/a-15:0/16:0/a-21:0)	C69H134O17P2	1297.762	
HMDB0122025	CL(8:0/a-15:0/16:0/i-21:0)	C69H134O17P2	1297.762	
HMDB0122026	CL(8:0/a-15:0/16:0/22:0)	C70H136O17P2	1311.789	
HMDB0122027	CL(8:0/a-15:0/16:0/i-22:0)	C70H136O17P2	1311.789	
HMDB0122028	CL(8:0/a-15:0/16:0/23:0)	C71H138O17P2	1325.816	
HMDB0122029	CL(8:0/a-15:0/16:0/24:0)	C72H140O17P2	1339.843	
HMDB0122030	CL(8:0/a-15:0/16:0/i-24:0)	C72H140O17P2	1339.843	
HMDB0122031	CL(8:0/a-15:0/16:0/25:0)	C73H142O17P2	1353.87	
HMDB0122032	CL(8:0/a-15:0/16:0/a-25:0)	C73H142O17P2	1353.87	
HMDB0122033	CL(8:0/a-15:0/i-16:0/i-16:0)	C64H124O17P2	1227.627	
HMDB0122034	CL(8:0/a-15:0/i-16:0/17:0)	C65H126O17P2	1241.654	
HMDB0122035	CL(8:0/a-15:0/i-16:0/a-17:0)	C65H126O17P2	1241.654	
HMDB0122036	CL(8:0/a-15:0/i-16:0/i-17:0)	C65H126O17P2	1241.654	
HMDB0122037	CL(8:0/a-15:0/i-16:0/18:0)	C66H128O17P2	1255.681	
HMDB0122038	CL(8:0/a-15:0/i-16:0/i-18:0)	C66H128O17P2	1255.681	
HMDB0122039	CL(8:0/a-15:0/i-16:0/18:2(9Z,11Z))	C66H124O17P2	1251.649	
HMDB0122040	CL(8:0/a-15:0/i-16:0/19:0)	C67H130O17P2	1269.708	
HMDB0122041	CL(8:0/a-15:0/i-16:0/i-19:0)	C67H130O17P2	1269.708	
HMDB0122042	CL(8:0/a-15:0/i-16:0/20:0)	C68H132O17P2	1283.735	
HMDB0122043	CL(8:0/a-15:0/i-16:0/i-20:0)	C68H132O17P2	1283.735	
HMDB0122044	CL(8:0/a-15:0/i-16:0/21:0)	C69H134O17P2	1297.762	
HMDB0122045	CL(8:0/a-15:0/i-16:0/a-21:0)	C69H134O17P2	1297.762	
HMDB0122046	CL(8:0/a-15:0/i-16:0/i-21:0)	C69H134O17P2	1297.762	
HMDB0122047	CL(8:0/a-15:0/i-16:0/22:0)	C70H136O17P2	1311.789	
HMDB0122048	CL(8:0/a-15:0/i-16:0/i-22:0)	C70H136O17P2	1311.789	
HMDB0122049	CL(8:0/a-15:0/i-16:0/23:0)	C71H138O17P2	1325.816	
HMDB0122050	CL(8:0/a-15:0/i-16:0/24:0)	C72H140O17P2	1339.843	
HMDB0122051	CL(8:0/a-15:0/i-16:0/i-24:0)	C72H140O17P2	1339.843	
HMDB0122052	CL(8:0/a-15:0/i-16:0/25:0)	C73H142O17P2	1353.87	
HMDB0122053	CL(8:0/a-15:0/i-16:0/a-25:0)	C73H142O17P2	1353.87	
HMDB0122054	CL(8:0/a-15:0/17:0/17:0)	C66H128O17P2	1255.681	
HMDB0122055	CL(8:0/a-15:0/17:0/a-17:0)	C66H128O17P2	1255.681	
HMDB0122056	CL(8:0/a-15:0/17:0/i-17:0)	C66H128O17P2	1255.681	
HMDB0122057	CL(8:0/a-15:0/17:0/18:0)	C67H130O17P2	1269.708	
HMDB0122058	CL(8:0/a-15:0/17:0/i-18:0)	C67H130O17P2	1269.708	
HMDB0122059	CL(8:0/a-15:0/17:0/18:2(9Z,11Z))	C67H126O17P2	1265.676	
HMDB0122060	CL(8:0/a-15:0/17:0/19:0)	C68H132O17P2	1283.735	
HMDB0122061	CL(8:0/a-15:0/17:0/i-19:0)	C68H132O17P2	1283.735	
HMDB0122062	CL(8:0/a-15:0/17:0/20:0)	C69H134O17P2	1297.762	
HMDB0122063	CL(8:0/a-15:0/17:0/i-20:0)	C69H134O17P2	1297.762	
HMDB0122064	CL(8:0/a-15:0/17:0/21:0)	C70H136O17P2	1311.789	
HMDB0122065	CL(8:0/a-15:0/17:0/a-21:0)	C70H136O17P2	1311.789	
HMDB0122066	CL(8:0/a-15:0/17:0/i-21:0)	C70H136O17P2	1311.789	
HMDB0122067	CL(8:0/a-15:0/17:0/22:0)	C71H138O17P2	1325.816	
HMDB0122068	CL(8:0/a-15:0/17:0/i-22:0)	C71H138O17P2	1325.816	
HMDB0122069	CL(8:0/a-15:0/17:0/23:0)	C72H140O17P2	1339.843	
HMDB0122070	CL(8:0/a-15:0/17:0/24:0)	C73H142O17P2	1353.87	
HMDB0122071	CL(8:0/a-15:0/17:0/i-24:0)	C73H142O17P2	1353.87	
HMDB0122072	CL(8:0/a-15:0/17:0/25:0)	C74H144O17P2	1367.897	
HMDB0122073	CL(8:0/a-15:0/17:0/a-25:0)	C74H144O17P2	1367.897	
HMDB0122074	CL(8:0/a-15:0/a-17:0/a-17:0)	C66H128O17P2	1255.681	
HMDB0122075	CL(8:0/a-15:0/a-17:0/i-17:0)	C66H128O17P2	1255.681	
HMDB0122076	CL(8:0/a-15:0/a-17:0/18:0)	C67H130O17P2	1269.708	
HMDB0122077	CL(8:0/a-15:0/a-17:0/i-18:0)	C67H130O17P2	1269.708	
HMDB0122078	CL(8:0/a-15:0/a-17:0/18:2(9Z,11Z))	C67H126O17P2	1265.676	
HMDB0122079	CL(8:0/a-15:0/a-17:0/19:0)	C68H132O17P2	1283.735	
HMDB0122080	CL(8:0/a-15:0/a-17:0/i-19:0)	C68H132O17P2	1283.735	
HMDB0122081	CL(8:0/a-15:0/a-17:0/20:0)	C69H134O17P2	1297.762	
HMDB0122082	CL(8:0/a-15:0/a-17:0/i-20:0)	C69H134O17P2	1297.762	
HMDB0122083	CL(8:0/a-15:0/a-17:0/21:0)	C70H136O17P2	1311.789	
HMDB0122084	CL(8:0/a-15:0/a-17:0/a-21:0)	C70H136O17P2	1311.789	
HMDB0122085	CL(8:0/a-15:0/a-17:0/i-21:0)	C70H136O17P2	1311.789	
HMDB0122086	CL(8:0/a-15:0/a-17:0/22:0)	C71H138O17P2	1325.816	
HMDB0122087	CL(8:0/a-15:0/a-17:0/i-22:0)	C71H138O17P2	1325.816	
HMDB0122088	CL(8:0/a-15:0/a-17:0/23:0)	C72H140O17P2	1339.843	
HMDB0122089	CL(8:0/a-15:0/a-17:0/24:0)	C73H142O17P2	1353.87	
HMDB0122090	CL(8:0/a-15:0/a-17:0/i-24:0)	C73H142O17P2	1353.87	
HMDB0122091	CL(8:0/a-15:0/a-17:0/25:0)	C74H144O17P2	1367.897	
HMDB0122092	CL(8:0/a-15:0/a-17:0/a-25:0)	C74H144O17P2	1367.897	
HMDB0122093	CL(8:0/a-15:0/i-17:0/i-17:0)	C66H128O17P2	1255.681	
HMDB0122094	CL(8:0/a-15:0/i-17:0/18:0)	C67H130O17P2	1269.708	
HMDB0122095	CL(8:0/a-15:0/i-17:0/i-18:0)	C67H130O17P2	1269.708	
HMDB0122096	CL(8:0/a-15:0/i-17:0/18:2(9Z,11Z))	C67H126O17P2	1265.676	
HMDB0122097	CL(8:0/a-15:0/i-17:0/19:0)	C68H132O17P2	1283.735	
HMDB0122098	CL(8:0/a-15:0/i-17:0/i-19:0)	C68H132O17P2	1283.735	
HMDB0122099	CL(8:0/a-15:0/i-17:0/20:0)	C69H134O17P2	1297.762	
HMDB0122100	CL(8:0/a-15:0/i-17:0/i-20:0)	C69H134O17P2	1297.762	
HMDB0122101	CL(8:0/a-15:0/i-17:0/21:0)	C70H136O17P2	1311.789	
HMDB0122102	CL(8:0/a-15:0/i-17:0/a-21:0)	C70H136O17P2	1311.789	
HMDB0122103	CL(8:0/a-15:0/i-17:0/i-21:0)	C70H136O17P2	1311.789	
HMDB0122104	CL(8:0/a-15:0/i-17:0/22:0)	C71H138O17P2	1325.816	
HMDB0122105	CL(8:0/a-15:0/i-17:0/i-22:0)	C71H138O17P2	1325.816	
HMDB0122106	CL(8:0/a-15:0/i-17:0/23:0)	C72H140O17P2	1339.843	
HMDB0122107	CL(8:0/a-15:0/i-17:0/24:0)	C73H142O17P2	1353.87	
HMDB0122108	CL(8:0/a-15:0/i-17:0/i-24:0)	C73H142O17P2	1353.87	
HMDB0122109	CL(8:0/a-15:0/i-17:0/25:0)	C74H144O17P2	1367.897	
HMDB0122110	CL(8:0/a-15:0/i-17:0/a-25:0)	C74H144O17P2	1367.897	
HMDB0122111	CL(8:0/a-15:0/18:0/18:0)	C68H132O17P2	1283.735	
HMDB0122112	CL(8:0/a-15:0/18:0/i-18:0)	C68H132O17P2	1283.735	
HMDB0122113	CL(8:0/a-15:0/18:0/18:2(9Z,11Z))	C68H128O17P2	1279.703	
HMDB0122114	CL(8:0/a-15:0/18:0/19:0)	C69H134O17P2	1297.762	
HMDB0122115	CL(8:0/a-15:0/18:0/i-19:0)	C69H134O17P2	1297.762	
HMDB0122116	CL(8:0/a-15:0/18:0/20:0)	C70H136O17P2	1311.789	
HMDB0122117	CL(8:0/a-15:0/18:0/i-20:0)	C70H136O17P2	1311.789	
HMDB0122118	CL(8:0/a-15:0/18:0/21:0)	C71H138O17P2	1325.816	
HMDB0122119	CL(8:0/a-15:0/18:0/a-21:0)	C71H138O17P2	1325.816	
HMDB0122120	CL(8:0/a-15:0/18:0/i-21:0)	C71H138O17P2	1325.816	
HMDB0122121	CL(8:0/a-15:0/18:0/22:0)	C72H140O17P2	1339.843	
HMDB0122122	CL(8:0/a-15:0/18:0/i-22:0)	C72H140O17P2	1339.843	
HMDB0122123	CL(8:0/a-15:0/18:0/23:0)	C73H142O17P2	1353.87	
HMDB0122124	CL(8:0/a-15:0/18:0/24:0)	C74H144O17P2	1367.897	
HMDB0122125	CL(8:0/a-15:0/18:0/i-24:0)	C74H144O17P2	1367.897	
HMDB0122126	CL(8:0/a-15:0/18:0/25:0)	C75H146O17P2	1381.924	
HMDB0122127	CL(8:0/a-15:0/18:0/a-25:0)	C75H146O17P2	1381.924	
HMDB0122128	CL(8:0/a-15:0/i-18:0/i-18:0)	C68H132O17P2	1283.735	
HMDB0122129	CL(8:0/a-15:0/i-18:0/18:2(9Z,11Z))	C68H128O17P2	1279.703	
HMDB0122130	CL(8:0/a-15:0/i-18:0/19:0)	C69H134O17P2	1297.762	
HMDB0122131	CL(8:0/a-15:0/i-18:0/i-19:0)	C69H134O17P2	1297.762	
HMDB0122132	CL(8:0/a-15:0/i-18:0/20:0)	C70H136O17P2	1311.789	
HMDB0122133	CL(8:0/a-15:0/i-18:0/i-20:0)	C70H136O17P2	1311.789	
HMDB0122134	CL(8:0/a-15:0/i-18:0/21:0)	C71H138O17P2	1325.816	
HMDB0122135	CL(8:0/a-15:0/i-18:0/a-21:0)	C71H138O17P2	1325.816	
HMDB0122136	CL(8:0/a-15:0/i-18:0/i-21:0)	C71H138O17P2	1325.816	
HMDB0122137	CL(8:0/a-15:0/i-18:0/22:0)	C72H140O17P2	1339.843	
HMDB0122138	CL(8:0/a-15:0/i-18:0/i-22:0)	C72H140O17P2	1339.843	
HMDB0122139	CL(8:0/a-15:0/i-18:0/23:0)	C73H142O17P2	1353.87	
HMDB0122140	CL(8:0/a-15:0/i-18:0/24:0)	C74H144O17P2	1367.897	
HMDB0122141	CL(8:0/a-15:0/i-18:0/i-24:0)	C74H144O17P2	1367.897	
HMDB0122142	CL(8:0/a-15:0/i-18:0/25:0)	C75H146O17P2	1381.924	
HMDB0122143	CL(8:0/a-15:0/i-18:0/a-25:0)	C75H146O17P2	1381.924	
HMDB0122144	CL(8:0/a-15:0/18:2(9Z,11Z)/18:2(9Z,11Z))	C68H124O17P2	1275.671	
HMDB0122145	CL(8:0/a-15:0/18:2(9Z,11Z)/19:0)	C69H130O17P2	1293.73	
HMDB0122146	CL(8:0/a-15:0/18:2(9Z,11Z)/i-19:0)	C69H130O17P2	1293.73	
HMDB0122147	CL(8:0/a-15:0/18:2(9Z,11Z)/20:0)	C70H132O17P2	1307.757	
HMDB0122148	CL(8:0/a-15:0/18:2(9Z,11Z)/i-20:0)	C70H132O17P2	1307.757	
HMDB0122149	CL(8:0/a-15:0/18:2(9Z,11Z)/21:0)	C71H134O17P2	1321.784	
HMDB0122150	CL(8:0/a-15:0/18:2(9Z,11Z)/a-21:0)	C71H134O17P2	1321.784	
HMDB0122151	CL(8:0/a-15:0/18:2(9Z,11Z)/i-21:0)	C71H134O17P2	1321.784	
HMDB0122152	CL(8:0/a-15:0/18:2(9Z,11Z)/22:0)	C72H136O17P2	1335.811	
HMDB0122153	CL(8:0/a-15:0/18:2(9Z,11Z)/i-22:0)	C72H136O17P2	1335.811	
HMDB0122154	CL(8:0/a-15:0/18:2(9Z,11Z)/23:0)	C73H138O17P2	1349.838	
HMDB0122155	CL(8:0/a-15:0/18:2(9Z,11Z)/24:0)	C74H140O17P2	1363.865	
HMDB0122156	CL(8:0/a-15:0/18:2(9Z,11Z)/i-24:0)	C74H140O17P2	1363.865	
HMDB0122157	CL(8:0/a-15:0/18:2(9Z,11Z)/25:0)	C75H142O17P2	1377.892	
HMDB0122158	CL(8:0/a-15:0/18:2(9Z,11Z)/a-25:0)	C75H142O17P2	1377.892	
HMDB0122159	CL(8:0/a-15:0/19:0/19:0)	C70H136O17P2	1311.789	
HMDB0122160	CL(8:0/a-15:0/19:0/i-19:0)	C70H136O17P2	1311.789	
HMDB0122161	CL(8:0/a-15:0/19:0/20:0)	C71H138O17P2	1325.816	
HMDB0122162	CL(8:0/a-15:0/19:0/i-20:0)	C71H138O17P2	1325.816	
HMDB0122163	CL(8:0/a-15:0/19:0/21:0)	C72H140O17P2	1339.843	
HMDB0122164	CL(8:0/a-15:0/19:0/a-21:0)	C72H140O17P2	1339.843	
HMDB0122165	CL(8:0/a-15:0/19:0/i-21:0)	C72H140O17P2	1339.843	
HMDB0122166	CL(8:0/a-15:0/19:0/22:0)	C73H142O17P2	1353.87	
HMDB0122167	CL(8:0/a-15:0/19:0/i-22:0)	C73H142O17P2	1353.87	
HMDB0122168	CL(8:0/a-15:0/19:0/23:0)	C74H144O17P2	1367.897	
HMDB0122169	CL(8:0/a-15:0/19:0/24:0)	C75H146O17P2	1381.924	
HMDB0122170	CL(8:0/a-15:0/19:0/i-24:0)	C75H146O17P2	1381.924	
HMDB0122171	CL(8:0/a-15:0/19:0/25:0)	C76H148O17P2	1395.951	
HMDB0122172	CL(8:0/a-15:0/19:0/a-25:0)	C76H148O17P2	1395.951	
HMDB0122173	CL(8:0/a-15:0/i-19:0/i-19:0)	C70H136O17P2	1311.789	
HMDB0122174	CL(8:0/a-15:0/i-19:0/20:0)	C71H138O17P2	1325.816	
HMDB0122175	CL(8:0/a-15:0/i-19:0/i-20:0)	C71H138O17P2	1325.816	
HMDB0122176	CL(8:0/a-15:0/i-19:0/21:0)	C72H140O17P2	1339.843	
HMDB0122177	CL(8:0/a-15:0/i-19:0/a-21:0)	C72H140O17P2	1339.843	
HMDB0122178	CL(8:0/a-15:0/i-19:0/i-21:0)	C72H140O17P2	1339.843	
HMDB0122179	CL(8:0/a-15:0/i-19:0/22:0)	C73H142O17P2	1353.87	
HMDB0122180	CL(8:0/a-15:0/i-19:0/i-22:0)	C73H142O17P2	1353.87	
HMDB0122181	CL(8:0/a-15:0/i-19:0/23:0)	C74H144O17P2	1367.897	
HMDB0122182	CL(8:0/a-15:0/i-19:0/24:0)	C75H146O17P2	1381.924	
HMDB0122183	CL(8:0/a-15:0/i-19:0/i-24:0)	C75H146O17P2	1381.924	
HMDB0122184	CL(8:0/a-15:0/i-19:0/25:0)	C76H148O17P2	1395.951	
HMDB0122185	CL(8:0/a-15:0/i-19:0/a-25:0)	C76H148O17P2	1395.951	
HMDB0122186	CL(8:0/a-15:0/20:0/20:0)	C72H140O17P2	1339.843	
