HMDB	name	chemical_formula	average_molecular_weight	kegg_id
HMDB0000296	Uridine	C9H12N2O6	244.2014	C00299
HMDB0000299	Xanthosine	C10H12N4O6	284.2255	C01762
HMDB0000300	Uracil	C4H4N2O2	112.0868	C00106
HMDB0000301	Urocanic acid	C6H6N2O2	138.124	C00785
HMDB0000302	Uridine diphosphategalactose	C15H24N2O17P2	566.3018	C00052
HMDB0000303	Tryptamine	C10H12N2	160.2157	C00398
HMDB0000304	Uridine diphosphate-N-acetylgalactosamine	C17H27N3O17P2	607.3537	
HMDB0000305	Vitamin A	C20H30O	286.4516	C17276
HMDB0000306	Tyramine	C8H11NO	137.179	C00483
HMDB0000307	1beta-Hydroxycholic acid	C24H40O6	424.5708	
HMDB0000308	3b-Hydroxy-5-cholenoic acid	C24H38O3	374.5567	
HMDB0000309	3alpha,16beta-Dihydroxyandrostenone	C19H28O3	304.43	
HMDB0000310	Methylacetoacetic acid	C5H8O3	116.1152	
HMDB0000311	3b,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid	C24H40O6	424.5708	
HMDB0000312	3alpha,7alpha,12beta-Trihydroxy-5beta-cholanoic acid	C24H40O5	408.5714	
HMDB0000313	16b-Hydroxyestrone	C18H22O3	286.3655	C05300
HMDB0000314	3b-Allotetrahydrocortisol	C21H34O5	366.4917	
HMDB0000315	16-a-Hydroxypregnenolone	C21H32O3	332.477	C06390  
HMDB0000316	2b,3a,7a,12a-Tetrahydroxy-5b-cholanoic acid	C24H40O6	424.5708	
HMDB0000317	2-Hydroxy-3-methylpentanoic acid	C6H12O3	132.1577	
HMDB0000318	3,4-Dihydroxyphenylglycol	C8H10O4	170.1626	C05576
HMDB0000319	18-Hydroxycorticosterone	C21H30O5	362.4599	C01124
HMDB0000320	3a,4b,7a-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	
HMDB0000321	2-Hydroxyadipic acid	C6H10O5	162.1406	C02360
HMDB0000322	16-Oxoandrostenediol	C19H28O3	304.4238	
HMDB0000323	3-Amino-2-piperidone	C5H10N2O	114.1457	
HMDB0000324	3alpha,16alpha-Dihydroxyandrostenone	C19H28O3	304.43	
HMDB0000325	3-Hydroxysuberic acid	C8H14O5	190.1938	
HMDB0000326	1b,3a,12a-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	
HMDB0000328	12-Ketodeoxycholic acid	C24H38O4	390.5561	
HMDB0000329	2-Phenylbutyric acid	C10H12O2	164.2011	
HMDB0000330	3a,4b,12a-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	
HMDB0000331	3a,7b,12a-Trihydroxyoxocholanyl-Glycine	C26H43NO6	465.6227	
HMDB0000332	18-Oxocortisol	C21H28O6	376.4434	
HMDB0000333	Isohomovanillic acid	C9H10O4	182.1733	
HMDB0000335	16a-Hydroxyestrone	C18H22O3	286.3655	C05300
HMDB0000336	(R)-3-Hydroxyisobutyric acid	C4H8O3	104.1045	
HMDB0000337	(S)-3,4-Dihydroxybutyric acid	C4H8O4	120.1039	
HMDB0000338	2-Hydroxyestradiol	C18H24O3	288.3814	C05301
HMDB0000339	2-Methylbutyrylglycine	C7H13NO3	159.183	
HMDB0000340	3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid	C24H40O6	424.5708	
HMDB0000341	2-Octenedioic acid	C8H12O4	172.1785	
HMDB0000343	2-Hydroxyestrone	C18H22O3	286.3655	C05298
HMDB0000344	2-Methoxyestradiol-3-methylether	C20H28O3	316.4345	
HMDB0000345	3-Hydroxyadipic acid	C6H10O5	162.1406	
HMDB0000346	3-Deoxyarabinohexonic acid	C6H12O6	180.1559	
HMDB0000347	16b-Hydroxyestradiol	C18H24O3	288.3814	
HMDB0000348	3b,12a-Dihydroxy-5a-cholanoic acid	C24H40O4	392.572	
HMDB0000349	Erythrono-1,4-lactone	C4H6O4	118.088	
HMDB0000350	3-Hydroxysebacic acid	C10H18O5	218.249	
HMDB0000351	(2S,3R)-3-Hydroxy-2-methylbutanoic acid	C5H10O3	118.1311	
HMDB0000352	16a-Hydroxydehydroisoandrosterone	C19H28O3	304.4238	C05139
HMDB0000353	3b,15b,17a-Trihydroxy-pregnenone	C21H32O4	348.4764	
HMDB0000354	2-Methyl-3-hydroxybutyric acid	C5H10O3	118.1311	
HMDB0000355	3-Hydroxymethylglutaric acid	C6H10O5	162.1406	C03761
HMDB0000356	17-Epiestriol	C18H24O3	288.3814	
HMDB0000359	3alpha,7alpha-Dihydroxycoprostanic acid	C27H46O4	434.661	
HMDB0000360	2,4-Dihydroxybutanoic acid	C4H8O4	120.1039	
HMDB0000361	3b,7a-Dihydroxy-5b-cholanoic acid	C24H40O4	392.572	C17660
HMDB0000362	2-Phosphoglyceric acid	C3H7O7P	186.0572	
HMDB0000363	17a-Hydroxypregnenolone	C21H32O3	332.477	C05138
HMDB0000364	3a,6a,7b-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	C17727
HMDB0000365	Epiandrosterone	C19H30O2	290.4403	C07635
HMDB0000366	2-Deoxyribonic acid	C5H10O5	150.1299	
HMDB0000367	3a,6b,7b,12a-Tetrahydroxy-5b-cholanoic acid	C24H40O6	424.5708	
HMDB0000368	2(R)-Hydroxyadipic acid	C6H10O5	162.1406	
HMDB0000369	3b,17b-Dihydroxyetiocholane	C19H32O2	292.4562	
HMDB0000370	2-Amino-3-phosphonopropionic acid	C3H8NO5P	169.0731	C05672
HMDB0000371	1,3,12-Trihydroxycholan-24-oic acid	C24H40O5	408.5714	
HMDB0000372	16-Oxoestrone	C18H20O3	284.3496	C14441
HMDB0000374	17-Hydroxyprogesterone	C21H30O3	330.4611	C01176
HMDB0000375	3-(3-Hydroxyphenyl)propanoic acid	C9H10O3	166.1739	C11457
HMDB0000376	3b,7a,12a-Trihydroxy-5a-Cholanoic acid	C24H40O5	408.5714	
HMDB0000377	3a,6b,7b,12b-Tetrahydroxy-5b-cholanoic acid	C24H40O6	424.5708	
HMDB0000378	2-Methylbutyroylcarnitine	C12H23NO4	245.3153	
HMDB0000379	2-Methylcitric acid	C7H10O7	206.1501	
HMDB0000380	2-Hydroxyestradiol-3-methyl ether	C19H26O3	302.4079	
HMDB0000381	Allolithocholic acid	C24H40O3	376.5726	
HMDB0000383	3a,17a-Dihydroxy-5b-androstane	C19H32O2	292.4562	C07632
HMDB0000384	3a,7a-Dihydroxycholanoic acid	C24H40O4	392.572	
HMDB0000385	12a-Hydroxy-3-oxocholadienic acid	C24H34O4	386.5244	
HMDB0000387	3-Hydroxydodecanoic acid	C12H24O3	216.321	
HMDB0000389	2'-Deoxysepiapterin	C9H11N5O2	221.2159	
HMDB0000390	3a,7b,12b-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	
HMDB0000391	7-Ketodeoxycholic acid	C24H38O5	406.5555	
HMDB0000392	2-Octenoic acid	C8H14O2	142.1956	
HMDB0000393	3-Hexenedioic acid	C6H8O4	144.1253	
HMDB0000394	3-Hydroxytetradecanedioic acid	C14H26O5	274.3532	
HMDB0000395	3b,7b,12a-Trihydroxy-5b-cholanoic acid	C24H40O5	408.5714	
HMDB0000396	2-Ethylhydracrylic acid	C5H10O3	118.1311	
HMDB0000397	2-Pyrocatechuic acid	C7H6O4	154.121	C00196
HMDB0000398	3-Oxoadipic acid	C6H8O5	160.1247	C00846
