HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0090732,CL(i-14:0/a-13:0/a-13:0/a-25:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,NZTDVLVLHMNRHE-DIHVZKTASA-N,C74H144O17P2,1367.897,1366.987877173
HMDB0090733,CL(i-14:0/i-13:0/a-13:0/a-25:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,YBFVRUNEAPIXNR-FQBBNHMMSA-N,C74H144O17P2,1367.897,1366.987877173
HMDB0090734,CL(i-14:0/i-13:0/i-13:0/a-25:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,PJFIRPJIHCDZJD-GUERLEBKSA-N,C74H144O17P2,1367.897,1366.987877173
HMDB0090735,CL(i-14:0/i-13:0/i-14:0/i-12:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)C,ZBFRCYQGGLJXBD-FOCARYSPSA-N,C62H120O17P2,1199.573,1198.8000764
HMDB0090736,CL(i-14:0/a-13:0/i-14:0/i-12:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,QFFANXYSWBQLAW-OMULYMMHSA-N,C62H120O17P2,1199.573,1198.8000764
HMDB0090737,CL(i-14:0/a-13:0/i-14:0/a-13:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,YLGVOGVTMQUELF-KZICPFDBSA-N,C63H122O17P2,1213.6,1212.815726464
HMDB0090738,CL(i-14:0/i-13:0/i-14:0/i-13:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,DILMXXZTQDECMM-LPSHHRBJSA-N,C63H122O17P2,1213.6,1212.815726464
HMDB0090739,CL(i-14:0/a-13:0/i-14:0/i-13:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,BLXCYBWPTQNEGM-KHINYZCDSA-N,C63H122O17P2,1213.6,1212.815726464
HMDB0090740,CL(i-14:0/i-13:0/i-14:0/a-13:0)[rac],[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,BLXCYBWPTQNEGM-ZZKAMXMPSA-N,C63H122O17P2,1213.6,1212.815726464
HMDB0090741,CL(i-14:0/i-13:0/i-14:0/i-14:0),[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,PBJUUAMBEUFETM-UPMPAGDASA-N,C64H124O17P2,1227.627,1226.831376529
