HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0001881,Propylene glycol,C[C@@H](O)CO,DNIAPMSPPWPWGF-GSVOUGTGSA-N,C3H8O2,76.0944,76.0524295
HMDB0001999,Eicosapentaenoic acid,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,C20H30O2,302.451,302.224580204
HMDB0002092,Itaconic acid,OC(=O)CC(=C)C(O)=O,LVHBHZANLOWSRM-UHFFFAOYSA-N,C5H6O4,130.0987,130.02660868
HMDB0002111,Water,O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,H2O,18.0153,18.010564686
HMDB0002329,Oxalic acid,OC(=O)C(O)=O,MUBZPKHOEPUJKR-UHFFFAOYSA-N,C2H2O4,90.0349,89.995308552
HMDB0002712,"1,5-Anhydrosorbitol",OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,MPCAJMNYNOGXPB-SLPGGIOYSA-N,C6H12O5,164.1565,164.068473494
HMDB0003345,alpha-D-Glucose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-DVKNGEFBSA-N,C6H12O6,180.1559,180.063388116
HMDB0006695,Prolylhydroxyproline,O[C@@H]1C[C@H](N(C1)C(=O)[C@@H]1CCCN1)C(O)=O,ONPXCLZMBSJLSP-CSMHCCOUSA-N,C10H16N2O4,228.245,228.11100701
HMDB0011131,MG(18:0/0:0/0:0),[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCCCC,VBICKXHEKHSIBG-FQEVSTJZSA-N,C21H42O4,358.5558,358.308309832
HMDB0011564,MG(16:0/0:0/0:0),[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCC,QHZLMUACJMDIAE-SFHVURJKSA-N,C19H38O4,330.5026,330.277009704
HMDB0011733,Glycyl-glycine,NCC(=O)NCC(O)=O,YMAWOPBAYDPSLA-UHFFFAOYSA-N,C4H8N2O3,132.1179,132.053492132
HMDB0013248,Monoethylhexyl phthalic acid,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,DJDSLBVSSOQSLW-UHFFFAOYSA-N,C16H22O4,278.3435,278.151809192
HMDB0015217,Pilocarpine,CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O,QCHFTSOMWOSFHM-WPRPVWTQSA-N,C11H16N2O2,208.2569,208.121177766
HMDB0028843,Glycyl-Histidine,NCC(=O)NC(CC1=CN=CN1)C(O)=O,YIWFXZNIBQBFHR-UHFFFAOYSA-N,C8H12N4O3,212.2059,212.09094027
HMDB0028850,Glycyl-Serine,NCC(O)=NC(CO)C(O)=O,BCCRXDTUTZHDEU-UHFFFAOYSA-N,C5H10N2O4,162.1439,162.064056818
HMDB0031230,2-Ethylhexanoic acid,CCCCC(CC)C(O)=O,OBETXYAYXDNJHR-UHFFFAOYSA-N,C8H16O2,144.2114,144.115029756
HMDB0032538,Triethanolamine,OCCN(CCO)CCO,GSEJCLTVZPLZKY-UHFFFAOYSA-N,C6H15NO3,149.1882,149.105193351
HMDB0032572,Methylparaben,COC(=O)C1=CC=C(O)C=C1,LXCFILQKKLGQFO-UHFFFAOYSA-N,C8H8O3,152.1473,152.047344122
HMDB0032574,Propylparaben,CCCOC(=O)C1=CC=C(O)C=C1,QELSKZZBTMNZEB-UHFFFAOYSA-N,C10H12O3,180.2005,180.07864425
HMDB0033584,Diethyl tartrate,CCOC(=O)C(O)C(O)C(=O)OCC,YSAVZVORKRDODB-UHFFFAOYSA-N,C8H14O6,206.1932,206.07903818
HMDB0033704,L-Galactose,OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,WQZGKKKJIJFFOK-SXUWKVJYSA-N,C6H12O6,180.1559,180.063388116
HMDB0041827,Ammonium,[NH4+],QGZKDVFQNNGYKY-UHFFFAOYSA-O,H4N,18.0385,18.034374133
HMDB0062186,1-Deoxy-1-(N6-lysino)-D-fructose,N[C@@H](CCCCNC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O)C(O)=O,ZAWLGBRDVQURAK-TYCYOEEFSA-N,C12H24N2O7,308.331,308.158351121
