HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000159,Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O,COLNVLDHVKWLRT-QMMMGPOBSA-N,C9H11NO2,165.1891,165.078978601
HMDB0000161,L-Alanine,C[C@H](N)C(O)=O,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C3H7NO2,89.0932,89.047678473
HMDB0000162,Proline,OC(=O)[C@@H]1CCCN1,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C5H9NO2,115.1305,115.063328537
HMDB0000167,L-Threonine,C[C@@H](O)[C@H](N)C(O)=O,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C4H9NO3,119.1192,119.058243159
HMDB0000168,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3,132.1179,132.053492132
HMDB0000169,D-Mannose,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-PQMKYFCFSA-N,C6H12O6,180.1559,180.063388116
HMDB0000172,Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2,131.1729,131.094628665
HMDB0000175,Inosinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,GRSZFWQUAKGDAV-KQYNXXCUSA-N,C10H13N4O8P,348.206,348.047099924
HMDB0000177,Histidine,N[C@@H](CC1=CNC=N1)C(O)=O,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2,155.1546,155.069476547
HMDB0000181,DOPA,N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O,WTDRDQBEARUVNC-LURJTMIESA-N,C9H11NO4,197.1879,197.068807845
HMDB0000182,Lysine,NCCCC[C@H](N)C(O)=O,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2,146.1876,146.105527702
HMDB0000187,Serine,N[C@@H](CO)C(O)=O,MTCFGRXMJLQNBG-REOHCLBHSA-N,C3H7NO3,105.0926,105.042593095
HMDB0000190,Lactic acid,C[C@H](O)C(O)=O,JVTAAEKCZFNVCJ-REOHCLBHSA-N,C3H6O3,90.0779,90.031694058
HMDB0000191,L-Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4,133.1027,133.037507717
HMDB0000192,L-Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,LEVWYRKDKASIDU-IMJSIDKUSA-N,C6H12N2O4S2,240.3,240.023848262
HMDB0000193,Isocitric acid,OC(C(CC(O)=O)C(O)=O)C(O)=O,ODBLHEXUDAPZAU-UHFFFAOYSA-N,C6H8O7,192.1235,192.02700261
HMDB0000195,Inosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C10H12N4O5,268.2261,268.080769514
HMDB0000197,Indoleacetic acid,OC(=O)CC1=CNC2=CC=CC=C12,SEOVTRFCIGRIMH-UHFFFAOYSA-N,C10H9NO2,175.184,175.063328537
HMDB0000201,L-Acetylcarnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,RDHQFKQIGNGIED-MRVPVSSYSA-N,C9H17NO4,203.238,203.115758031
HMDB0000202,Methylmalonic acid,CC(C(O)=O)C(O)=O,ZIYVHBGGAOATLY-UHFFFAOYSA-N,C4H6O4,118.088,118.02660868
HMDB0000207,Oleic acid,CCCCCCCC\C=C/CCCCCCCC(O)=O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,C18H34O2,282.4614,282.255880332
HMDB0000208,Oxoglutaric acid,OC(=O)CCC(=O)C(O)=O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,C5H6O5,146.0981,146.021523302
HMDB0000209,Phenylacetic acid,OC(=O)CC1=CC=CC=C1,WLJVXDMOQOGPHL-UHFFFAOYSA-N,C8H8O2,136.1479,136.0524295
HMDB0000210,Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,GHOKWGTUZJEAQD-ZETCQYMHSA-N,C9H17NO5,219.235,219.110672659
HMDB0000211,myo-Inositol,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,CDAISMWEOUEBRE-GPIVLXJGSA-N,C6H12O6,180.1559,180.063388116
HMDB0000214,Ornithine,NCCC[C@H](N)C(O)=O,AHLPHDHHMVZTML-BYPYZUCNSA-N,C5H12N2O2,132.161,132.089877638
HMDB0000216,Norepinephrine,NC[C@H](O)C1=CC(O)=C(O)C=C1,SFLSHLFXELFNJZ-QMMMGPOBSA-N,C8H11NO3,169.1778,169.073893223
HMDB0000220,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,C16H32O2,256.4241,256.240230268
HMDB0000223,Oxalacetic acid,OC(=O)CC(=O)C(O)=O,KHPXUQMNIQBQEV-UHFFFAOYSA-N,C4H4O5,132.0716,132.005873238
HMDB0000224,O-Phosphoethanolamine,NCCOP(O)(O)=O,SUHOOTKUPISOBE-UHFFFAOYSA-N,C2H8NO4P,141.063,141.019094261
HMDB0000230,N-Acetylneuraminic acid,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,SQVRNKJHWKZAKO-PFQGKNLYSA-N,C11H19NO9,309.2699,309.105981211
HMDB0000232,Quinolinic acid,OC(=O)C1=CC=CN=C1C(O)=O,GJAWHXHKYYXBSV-UHFFFAOYSA-N,C7H5NO4,167.1189,167.021857653
HMDB0000234,Testosterone,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C19H28O2,288.4244,288.20893014
HMDB0000235,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,JZRWCGZRTZMZEH-UHFFFAOYSA-N,C12H17N4OS,265.355,265.112306876
HMDB0000237,Propionic acid,CCC(O)=O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,C3H6O2,74.0785,74.036779436
HMDB0000238,Sepiapterin,C[C@H](O)C(=O)C1=NC2=C(NC1)NC(N)=NC2=O,VPVOXUSPXFPWBN-VKHMYHEASA-N,C9H11N5O3,237.2153,237.086189243
HMDB0000239,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,LXNHXLLTXMVWPM-UHFFFAOYSA-N,C8H11NO3,169.1778,169.073893223
HMDB0000243,Pyruvic acid,CC(=O)C(O)=O,LCTONWCANYUPML-UHFFFAOYSA-N,C3H4O3,88.0621,88.016043994
HMDB0000244,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,AUNGANRZJHBGPY-SCRDCRAPSA-N,C17H20N4O6,376.3639,376.138284392
HMDB0000247,Sorbitol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-JGWLITMVSA-N,C6H14O6,182.1718,182.07903818
HMDB0000251,Taurine,NCCS(O)(=O)=O,XOAAWQZATWQOTB-UHFFFAOYSA-N,C2H7NO3S,125.147,125.014663785
