ID	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	Factor8	Factor9	Factor10
H101	1.35864052702013	-1.09226765830601	2.33260648499011	1.0545670074504	0.544552500358008	-0.859065425947684	-0.0657842474592341	0.527178072739427	-0.536620988531164	-0.570560641523465
H102	-1.36409535705447	-1.52761726006041	2.39371890657563	1.57281250946184	-0.095328197907117	0.148069648069996	-0.32267377567653	0.368971493423431	-1.11719469946888	-0.0773687614618547
H103	1.19046557360032	-0.162263506145679	-1.78922376330795	0.0302079660490004	0.358598809485324	0.324419163945631	0.886980302256471	0.507011817275912	0.02077668599341	-0.366599353626458
H104	-2.28359200938738	0.538585369999931	-1.81261600189502	-1.32640910943949	-0.484662308143743	0.262441128029233	-0.191125305917888	0.235123284902503	0.117075974043879	-0.469132382599721
H105	1.53179022700871	-1.47065069610358	-1.81722458852646	1.59190127617552	1.21899995477576	-0.0140925848196763	0.461727118104727	0.0442388865982864	-0.115577863522293	0.140585287266263
H107	-1.98521463760182	0.526171603120709	-1.82834447169219	-0.476419740783311	-0.404754441743305	0.567124672819224	-0.131113423039506	-0.0528779123202134	0.271722290493092	-0.612348959718021
H108	1.40365809961373	0.803071308465649	-1.77786207175776	0.64717424165155	-0.969695373381735	0.0679976632259016	-0.534348551072555	-0.625555731169678	-0.717522558230433	-0.527154136229419
H109	-2.18520583540466	-2.39390357850781	-1.78739425418481	-0.594539996883902	-0.392601384218861	0.346371570405305	-0.25221441229771	0.337996235307863	0.446186606748989	-0.42169970387753
H110	2.3265274970684	-0.312157339141388	-1.77616603878987	-1.02538600179292	-0.642223078790259	-0.248847225753396	-1.0426086824931	0.0813621789740436	-0.0484003947036019	-0.328931167357583
H111	-2.45626542626416	1.19324362212708	-1.78251892272549	0.623207784928681	0.21236343432404	0.0776027328499865	-0.259914104985262	-0.0691769469994919	0.285658078194909	-0.735391691049378
H113	0.191171668240148	-2.85455980999402	-1.76616543072375	-1.54238111888803	-1.08195178350061	-1.03158621458181	0.637352581611264	-0.419021075940189	0.136713012296661	-0.308968256393433
H115	0.661933305751721	0.932905208681878	-1.79966002720888	-1.94093988542403	-0.671201820509036	-1.38787285741577	0.984104792659901	-0.210934215943917	0.401990896198916	-0.713778234082955
H117	-1.54728114867849	0.571777460990191	1.99619582376863	-0.765534872579474	0.392571552393332	0.695243644708225	-0.196616105830234	0.578984607307265	0.737840257874264	-0.359627712225436
H118	0.806014817754596	0.791557506627451	-1.75253677475331	2.49027207341003	-1.29569536152688	0.612940529386487	0.614040893824712	-0.59719501157215	-0.985108949659045	-0.378711354831174
H135	2.42291561299318	-0.910363000949996	2.60619047079301	-1.60906598900294	-0.291848488545728	0.134359714036869	-1.41861180035536	0.00412178442801466	0.444737904680614	2.71463215522124
H148	-1.65035730568689	-0.0205400871654573	2.36142313547034	-1.27297342188604	-0.0430647497618461	1.23479640042765	-1.25152133472589	0.448213230203273	-0.0675662694568557	-0.554036590776771
H163	2.07678865176324	-0.131626996290894	-1.80857662386937	-1.50793045393943	0.0301519785042788	-0.0846859668269896	-1.15867353757936	0.68771515856896	0.159204539708711	-0.129355884107276
H164	-2.63279863936993	1.04480245398737	2.31954467945034	-0.503809057827938	0.212845015715669	-0.929417107437797	-0.302738565580242	0.1356505551478	-0.118538742518274	-0.316398309573881
H165	-2.29651667915865	-0.0691113379271236	2.13562269854305	-1.13508800951184	0.263559874641106	-1.51394942833408	-0.208415000871382	0.0718508090987916	0.814429687307338	-0.699540880325413
H167	-2.02720998331277	0.282023556999923	2.33579260596528	-0.321155397331084	0.353936813989467	0.340227973915882	0.0028202324362187	0.628575084626267	0.250824665199948	-0.4896045846906
H169	1.42015616127647	-2.73083329955919	2.57371323193263	-0.699025744746954	-0.641039339641691	-0.688122628309891	0.105925640667268	0.10391482903423	0.206429201938574	2.26950130518596
H171	-1.72492269887489	0.537062049079358	-1.76931303910847	-0.657734831049116	0.292900945167628	1.54650020666882	-0.067279603795557	0.631516850914914	0.0906213248244733	-0.403187038709582
H173	0.309070743262633	0.877595441502226	2.26753227330805	-1.53966814344056	0.0567281446696138	1.00719967662705	1.52690741415251	0.167527034420382	0.160218726491397	-0.440763918514916
H187	-1.16954087609249	0.668642880362217	-1.80584082885377	0.313486854876782	-0.169915690238981	2.17061136101933	-0.0751810402510852	0.0819840529213665	0.673032897789948	-0.764496518797371
H192	0.250000647150758	-0.140467892325371	2.59288095177059	-0.786612457897716	-0.41391838767	1.47902874188143	2.10349929213333	0.309943880416091	-1.17409362041558	2.540566840519
H194	1.26195742874332	-3.08739761047261	-1.66046227025103	-0.418919132551079	-0.80455134556312	-1.22990473138268	0.322978862270739	-0.258580140729881	0.663063152854914	2.42214239869069
H225	1.96870849307827	-0.274649837712881	1.98082678430147	-1.51502338879606	0.112441494603897	-0.558827229227907	-0.707186953043214	0.406734626154349	0.363072451818035	-0.125570910825963
H228	0.192068019217902	0.284821095150172	-1.79620004961862	0.550119445887865	0.266824014965443	-0.338307086938888	1.31331820529873	0.269443801787244	-0.322784079424075	-0.459006155540796
H231	-2.36743116165962	0.665707602366765	-1.71582912422089	-0.70267522844842	-0.265081286129152	-1.18503017133647	-0.305673679553203	0.247926323655264	-0.70615655226701	-0.687170670627562
H233	-2.17749587960564	1.67588836917072	-1.76395566729475	-1.51597292510274	-0.568523358031846	0.488957849948028	0.260375795072027	-0.0917959183773127	-0.170798093065232	-0.748301566801415
H234	-2.02938296660748	-0.458436183299085	-1.79643297836769	-0.658211331490184	-0.731491344137581	1.19737259892925	0.00388186517872393	-0.30649197313995	-0.405071491483623	-0.698656941930746
H236	2.62619822003909	1.16792426149294	-1.78071982802815	-1.43439281104518	-0.916188124462904	-0.168603287260542	-0.533358106000304	-0.0992540422195838	-0.421272362066513	-0.142443153708135
H238	-1.82546262391001	-1.48402433583124	-1.79502193234627	0.0685283162137676	-1.09669279722231	0.928776234180488	-0.169685278945469	-0.218007744499792	0.480555278762608	-0.574222611385783
H239	-1.945318408979	-2.34427181513374	2.47573688075964	-0.843539786428988	-0.972614321158215	0.586059469381252	-0.0938956232299786	-0.126580267901888	0.410154537194295	1.64499041361335
H240	1.07313770410615	-0.640286390456942	-1.77526323902696	0.362960150742554	0.0904051405619199	0.901127072906904	1.15042341427478	0.33457885026067	0.0723057145202064	-0.532264098080714
H242	-1.90450410225214	-0.643161555367655	-1.6239347009929	-1.79342891131813	0.944282437538454	1.51310071433631	-0.303756764053007	0.0114864824418029	0.605823929195557	1.90924974434758
H243	-2.31803274299334	1.10165305464336	-1.77653553055385	-1.22668377227223	-0.704101024343117	-0.702355715693295	-0.135801605179807	-0.353236634953478	-0.0873888132656032	2.06033785631345
